from,to,items,note
Golden Ridge C - Level Clear,Golden Ridge C - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Mirror Temple A - Room e-11_west,Mirror Temple A - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Mirror Temple B - Level Clear,Mirror Temple B - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Mirror Temple C - Level Clear,Mirror Temple C - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Reflection A - Room boss-20_west,Reflection A - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Reflection B - Level Clear,Reflection B - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Reflection C - Level Clear,Reflection C - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
The Summit A - Room g-03_goal,The Summit A - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
The Summit B - Level Clear,The Summit B - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
The Summit C - Level Clear,The Summit C - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Core A - Room space_west,Core A - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Core B - Level Clear,Core B - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Core C - Level Clear,Core C - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Farewell - Room end-golden_top,Farewell - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Epilogue - Room outside,Epilogue - Level Clear,,"Go Mode",0
Farewell - Room e-08_east,Farewell - Room f-door_west,"include_farewell","Source puts post Crystal Heart? as Farewell B, hack in connection between the two: https://github.com/ArchipelagoMW/Archipelago/blob/799e0b7b0fa3c965995a6288c651d2f4d800e4ff/worlds/celeste_open_world/Locations.py#L240"
Farewell - Room e-08_east,Farewell - Room f-door_west,"goal_area_farewell","Source puts post Crystal Heart? as Farewell B, hack in connection between the two: https://github.com/ArchipelagoMW/Archipelago/blob/799e0b7b0fa3c965995a6288c651d2f4d800e4ff/worlds/celeste_open_world/Locations.py#L240"
Farewell - Room e-08_east,Farewell - Room f-door_west,"goal_area_farewell_golden","Source puts post Crystal Heart? as Farewell B, hack in connection between the two: https://github.com/ArchipelagoMW/Archipelago/blob/799e0b7b0fa3c965995a6288c651d2f4d800e4ff/worlds/celeste_open_world/Locations.py#L240"
Farewell - Room j-16_east,Farewell - Room end-golden_bottom,"entered_at_start","Source puts golden room as Farewell C, hack in connection between the two; https://github.com/ArchipelagoMW/Archipelago/blob/799e0b7b0fa3c965995a6288c651d2f4d800e4ff/worlds/celeste_open_world/Locations.py#L245"
Farewell - Room j-19_top,Farewell - Room end-golden_bottom,"entered_at_start","Source puts golden room as Farewell C, hack in connection between the two; https://github.com/ArchipelagoMW/Archipelago/blob/799e0b7b0fa3c965995a6288c651d2f4d800e4ff/worlds/celeste_open_world/Locations.py#L245"
