Chapter,Side,Checkpoint,Room,Name,Type,x,y
10,a,4,g-00,Farewell - Room g-00 Binoculars,bino,255,447
10,a,4,g-04,Farewell - Room g-04 Binoculars,bino,31,71
10,a,4,g-06,Farewell - Room g-06 Binoculars,bino,407,471
10,a,5,h-01,Farewell - Room h-01 Binoculars,bino,62,607
10,a,5,h-02,Farewell - Room h-02 Binoculars,bino,38,63
10,a,5,h-03b,Farewell - Room h-03b Binoculars,bino,22,119
10,a,5,h-04,Farewell - Room h-04 Binoculars,bino,94,31
10,a,5,h-05,Farewell - Room h-05 Binoculars,bino,86,47
10,a,5,h-06b,Farewell - Room h-06b Binoculars,bino,78,711
10,a,5,h-07,Farewell - Room h-07 Binoculars 1,bino,14,87
10,a,5,h-07,Farewell - Room h-07 Binoculars 2,bino,582,103
10,a,5,h-08,Farewell - Room h-08 Binoculars,bino,46,231
10,a,5,h-09,Farewell - Room h-09 Binoculars,bino,150,63
10,a,6,i-00b,Farewell - Room i-00b Binoculars,bino,54,79
10,a,6,i-02,Farewell - Room i-02 Binoculars,bino,38,55
10,a,6,i-04,Farewell - Room i-04 Binoculars,bino,46,103
10,a,6,i-05,Farewell - Room i-05 Binoculars,bino,58,119
10,a,8,j-16,Farewell - Room j-16 Binoculars,bino,111,2695
10,a,8,j-19,Farewell - Room j-19 Binoculars,bino,239,4591
10,a,8,end-golden,Farewell - Room end-golden Binoculars 1,bino,167,1927
10,a,8,end-golden,Farewell - Room end-golden Binoculars 2,bino,191,1767
10,a,8,end-golden,Farewell - Room end-golden Binoculars 3,bino,119,1263
10,a,1,a-00,Farewell - Singular,checkpoint,31,125
10,a,2,c-00,Farewell - Power Source,checkpoint,39,469
10,a,3,e-00z,Farewell - Remembered,checkpoint,311,356
10,a,4,f-door,Farewell - Event Horizon,checkpoint,39,85
10,a,5,h-00b,Farewell - Determination,checkpoint,38,85
10,a,6,i-00,Farewell - Stubbornness,checkpoint,878,93
10,a,7,j-00,Farewell - Reconciliation,checkpoint,39,109
10,a,8,j-16,Farewell - Farewell,checkpoint,39,2661
10,a,2,d-04,Farewell - Power Source Key 1,key,607,95
10,a,2,d-03,Farewell - Power Source Key 2,key,703,95
10,a,2,d-01,Farewell - Power Source Key 3,key,911,95
10,a,2,d-02,Farewell - Power Source Key 4,key,159,391
10,a,2,d-05,Farewell - Power Source Key 5,key,951,39
10,a,8,j-16,Farewell - Level Clear,clear,5681,1568
10,a,3,e-08,Farewell - Crystal Heart?,heart,1039,55
10,a,3,e-01,Farewell - Secret Car,car,290,37
10,a,4,f-00,Farewell - Internet Car,car,82,118
10,a,0,intro-00-past,Farewell - Room intro-00-past,room,0,1256
10,a,0,intro-01-future,Farewell - Room intro-01-future,room,1288,1256
10,a,0,intro-02-launch,Farewell - Room intro-02-launch,room,2072,184
10,a,0,intro-03-space,Farewell - Room intro-03-space,room,1688,0
10,a,1,a-00,Farewell - Room a-00,room,0,264
10,a,1,a-01,Farewell - Room a-01,room,320,208
10,a,1,a-02,Farewell - Room a-02,room,752,208
10,a,1,a-03,Farewell - Room a-03,room,1072,144
10,a,1,a-04,Farewell - Room a-04,room,1528,176
10,a,1,a-05,Farewell - Room a-05,room,2320,184
10,a,1,b-00,Farewell - Room b-00,room,3024,184
10,a,1,b-01,Farewell - Room b-01,room,3464,152
10,a,1,b-02,Farewell - Room b-02,room,3904,112
10,a,1,b-03,Farewell - Room b-03,room,4224,136
10,a,1,b-04,Farewell - Room b-04,room,4928,160
10,a,1,b-05,Farewell - Room b-05,room,5248,64
10,a,1,b-06,Farewell - Room b-06,room,5864,80
10,a,1,b-07,Farewell - Room b-07,room,6616,0
10,a,2,c-00,Farewell - Room c-00,room,0,1880
10,a,2,c-alt-00,Farewell - Room c-alt-00,room,808,1880
10,a,2,c-alt-01,Farewell - Room c-alt-01,room,2632,1880
10,a,2,c-00b,Farewell - Room c-00b,room,808,2136
10,a,2,c-01,Farewell - Room c-01,room,1792,2144
10,a,2,c-02,Farewell - Room c-02,room,2312,2192
10,a,2,c-03,Farewell - Room c-03,room,2952,1800
10,a,2,d-00,Farewell - Room d-00,room,2584,1168
10,a,2,d-01,Farewell - Room d-01,room,1056,1512
10,a,2,d-02,Farewell - Room d-02,room,2464,224
10,a,2,d-03,Farewell - Room d-03,room,3664,1616
10,a,2,d-04,Farewell - Room d-04,room,3664,1240
10,a,2,d-05,Farewell - Room d-05,room,2824,984
10,a,2,e-00y,Farewell - Room e-00y,room,2952,0
10,a,2,e-00yb,Farewell - Room e-00yb,room,3272,152
10,a,3,e-00z,Farewell - Room e-00z,room,0,1728
10,a,3,e-00,Farewell - Room e-00,room,152,1304
10,a,3,e-00b,Farewell - Room e-00b,room,272,904
10,a,3,e-01,Farewell - Room e-01,room,272,296
10,a,3,e-02,Farewell - Room e-02,room,352,112
10,a,3,e-03,Farewell - Room e-03,room,1096,32
10,a,3,e-04,Farewell - Room e-04,room,1416,0
10,a,3,e-05,Farewell - Room e-05,room,2216,104
10,a,3,e-05b,Farewell - Room e-05b,room,2608,0
10,a,3,e-05c,Farewell - Room e-05c,room,2928,96
10,a,3,e-06,Farewell - Room e-06,room,3408,56
10,a,3,e-07,Farewell - Room e-07,room,4280,72
10,a,3,e-08,Farewell - Room e-08,room,5032,80
10,a,4,f-door,Farewell - Room f-door,room,0,1960
10,a,4,f-00,Farewell - Room f-00,room,1000,1904
10,a,4,f-01,Farewell - Room f-01,room,1976,1736
10,a,4,f-02,Farewell - Room f-02,room,2416,1720
10,a,4,f-03,Farewell - Room f-03,room,3032,1736
10,a,4,f-04,Farewell - Room f-04,room,3496,1720
10,a,4,f-05,Farewell - Room f-05,room,4120,1464
10,a,4,f-06,Farewell - Room f-06,room,4744,1472
10,a,4,f-07,Farewell - Room f-07,room,5496,1480
10,a,4,f-08,Farewell - Room f-08,room,6560,1512
10,a,4,f-09,Farewell - Room f-09,room,7088,1336
10,a,4,g-00,Farewell - Room g-00,room,7104,864
10,a,4,g-01,Farewell - Room g-01,room,7104,552
10,a,4,g-03,Farewell - Room g-03,room,7296,368
10,a,4,g-02,Farewell - Room g-02,room,7288,184
10,a,4,g-04,Farewell - Room g-04,room,8096,0
10,a,4,g-05,Farewell - Room g-05,room,8968,40
10,a,4,g-06,Farewell - Room g-06,room,9288,136
10,a,5,h-00b,Farewell - Room h-00b,room,0,1888
10,a,5,h-00,Farewell - Room h-00,room,1048,2072
10,a,5,h-01,Farewell - Room h-01,room,1648,1552
10,a,5,h-02,Farewell - Room h-02,room,1856,1368
10,a,5,h-03,Farewell - Room h-03,room,3112,1312
10,a,5,h-03b,Farewell - Room h-03b,room,3432,1216
10,a,5,h-04,Farewell - Room h-04,room,4232,1232
10,a,5,h-04b,Farewell - Room h-04b,room,4552,1880
10,a,5,h-05,Farewell - Room h-05,room,4552,2064
10,a,5,h-06,Farewell - Room h-06,room,5376,2080
10,a,5,h-06b,Farewell - Room h-06b,room,6200,1344
10,a,5,h-07,Farewell - Room h-07,room,6456,1160
10,a,5,h-08,Farewell - Room h-08,room,8368,1088
10,a,5,h-09,Farewell - Room h-09,room,9008,1144
10,a,5,h-10,Farewell - Room h-10,room,10424,0
10,a,6,i-00,Farewell - Room i-00,room,0,296
10,a,6,i-00b,Farewell - Room i-00b,room,1384,248
10,a,6,i-01,Farewell - Room i-01,room,1976,168
10,a,6,i-02,Farewell - Room i-02,room,2536,120
10,a,6,i-03,Farewell - Room i-03,room,3264,48
10,a,6,i-04,Farewell - Room i-04,room,3816,0
10,a,6,i-05,Farewell - Room i-05,room,4424,32
10,a,7,j-00,Farewell - Room j-00,room,0,242
10,a,7,j-00b,Farewell - Room j-00b,room,1152,242
10,a,7,j-01,Farewell - Room j-01,room,2760,186
10,a,7,j-02,Farewell - Room j-02,room,4008,186
10,a,7,j-03,Farewell - Room j-03,room,0,686
10,a,7,j-04,Farewell - Room j-04,room,1616,702
10,a,7,j-05,Farewell - Room j-05,room,2456,702
10,a,7,j-06,Farewell - Room j-06,room,3712,646
10,a,7,j-07,Farewell - Room j-07,room,0,1106
10,a,7,j-08,Farewell - Room j-08,room,1752,1098
10,a,7,j-09,Farewell - Room j-09,room,3496,1114
10,a,7,j-10,Farewell - Room j-10,room,0,1654
10,a,7,j-11,Farewell - Room j-11,room,1744,1654
10,a,7,j-12,Farewell - Room j-12,room,3192,1678
10,a,7,j-13,Farewell - Room j-13,room,0,2138
10,a,7,j-14,Farewell - Room j-14,room,2672,2138
10,a,7,j-14b,Farewell - Room j-14b,room,4128,2074
10,a,7,j-15,Farewell - Room j-15,room,5216,2098
10,a,8,j-16,Farewell - Room j-16,room,0,4720
10,a,8,j-17,Farewell - Room j-17,room,4624,4536
10,a,8,j-18,Farewell - Room j-18,room,4624,4352
10,a,8,j-19,Farewell - Room j-19,room,4944,0
10,a,8,end-golden,Farewell - Room end-golden,room,6923,5480
2,a,0,start,Old Site A - Golden Strawberry,golden,239,186
2,a,0,1,Old Site A - Room 1 Strawberry,berry,296,64
2,a,0,d0,Old Site A - Room d0 Strawberry,berry,152,152
2,a,0,d3,Old Site A - Room d3 Strawberry,berry,64,416
2,a,0,d2,Old Site A - Room d2 Strawberry 1,berry,148,20
2,a,0,d2,Old Site A - Room d2 Strawberry 2,berry,360,28
2,a,0,d1,Old Site A - Room d1 Strawberry,berry,120,320
2,a,0,d6,Old Site A - Room d6 Strawberry,berry,112,56
2,a,0,d4,Old Site A - Room d4 Strawberry,berry,264,80
2,a,0,d5,Old Site A - Room d5 Strawberry,berry,296,88
2,a,1,4,Old Site A - Room 4 Strawberry,berry,296,48
2,a,1,5,Old Site A - Room 5 Strawberry,berry,24,64
2,a,1,8,Old Site A - Room 8 Strawberry,berry,128,56
2,a,1,9,Old Site A - Room 9 Strawberry,berry,368,280
2,a,1,9b,Old Site A - Room 9b Strawberry,berry,312,240
2,a,1,10,Old Site A - Room 10 Strawberry,berry,280,248
2,a,1,12c,Old Site A - Room 12c Strawberry,berry,112,72
2,a,1,12d,Old Site A - Room 12d Strawberry,berry,352,96
2,a,2,end_3c,Old Site A - Room end_3c Strawberry,berry,80,24
2,a,0,d3,Old Site A - Room d3 Binoculars,bino,279,94
2,a,1,3,Old Site A - Intervention,checkpoint,123,149
2,a,2,end_3,Old Site A - Awake,checkpoint,47,301
2,a,2,end_6,Old Site A - Level Clear,clear,205,131
2,a,0,d9,Old Site A - Cassette,cassette,55,102
2,a,0,s2,Old Site A - Crystal Heart,heart,223,111
2,a,0,start,Old Site A - Room start,room,0,552
2,a,0,s0,Old Site A - Room s0,room,0,368
2,a,0,s1,Old Site A - Room s1,room,0,184
2,a,0,s2,Old Site A - Room s2,room,0,0
2,a,0,0,Old Site A - Room 0,room,320,464
2,a,0,1,Old Site A - Room 1,room,680,504
2,a,0,d0,Old Site A - Room d0,room,680,800
2,a,0,d7,Old Site A - Room d7,room,1000,1168
2,a,0,d8,Old Site A - Room d8,room,1320,1168
2,a,0,d3,Old Site A - Room d3,room,1640,984
2,a,0,d2,Old Site A - Room d2,room,1000,984
2,a,0,d9,Old Site A - Room d9,room,808,1472
2,a,0,d1,Old Site A - Room d1,room,360,800
2,a,0,d6,Old Site A - Room d6,room,360,1168
2,a,0,d4,Old Site A - Room d4,room,1000,800
2,a,0,d5,Old Site A - Room d5,room,1320,800
2,a,0,3x,Old Site A - Room 3x,room,360,280
2,a,1,3,Old Site A - Room 3,room,32,1384
2,a,1,4,Old Site A - Room 4,room,72,1200
2,a,1,5,Old Site A - Room 5,room,72,1016
2,a,1,6,Old Site A - Room 6,room,72,832
2,a,1,7,Old Site A - Room 7,room,72,648
2,a,1,8,Old Site A - Room 8,room,0,328
2,a,1,9,Old Site A - Room 9,room,392,328
2,a,1,9b,Old Site A - Room 9b,room,176,0
2,a,1,10,Old Site A - Room 10,room,648,648
2,a,0,2,Old Site A - Room 2,room,999,643
2,a,1,2,Old Site A - Room 2,room,712,1608
2,a,1,11,Old Site A - Room 11,room,1096,1904
2,a,1,12b,Old Site A - Room 12b,room,1528,1904
2,a,1,12c,Old Site A - Room 12c,room,1768,1544
2,a,1,12d,Old Site A - Room 12d,room,1864,2088
2,a,1,12,Old Site A - Room 12,room,2120,1896
2,a,1,13,Old Site A - Room 13,room,2584,1904
2,a,2,end_0,Old Site A - Room end_0,room,0,544
2,a,2,end_s0,Old Site A - Room end_s0,room,0,184
2,a,2,end_s1,Old Site A - Room end_s1,room,0,0
2,a,2,end_1,Old Site A - Room end_1,room,320,544
2,a,2,end_2,Old Site A - Room end_2,room,680,544
2,a,2,end_3,Old Site A - Room end_3,room,1000,544
2,a,2,end_4,Old Site A - Room end_4,room,1384,704
2,a,2,end_3b,Old Site A - Room end_3b,room,1816,704
2,a,2,end_3cb,Old Site A - Room end_3cb,room,2056,520
2,a,2,end_3c,Old Site A - Room end_3c,room,2056,336
2,a,2,end_5,Old Site A - Room end_5,room,2408,696
2,a,2,end_6,Old Site A - Room end_6,room,2872,704
2,b,0,start,Old Site B - Golden Strawberry,golden,239,122
2,b,2,10,Old Site B - Room 10 Binoculars,bino,239,271
2,b,2,11,Old Site B - Room 11 Binoculars,bino,15,471
2,b,1,03,Old Site B - Combination Lock,checkpoint,243,153
2,b,2,08b,Old Site B - Dream Altar,checkpoint,35,153
2,b,2,end,Old Site B - Level Clear,clear,159,56
2,b,0,start,Old Site B - Room start,room,0,616
2,b,0,00,Old Site B - Room 00,room,320,616
2,b,0,01,Old Site B - Room 01,room,696,552
2,b,0,01b,Old Site B - Room 01b,room,936,368
2,b,0,02b,Old Site B - Room 02b,room,1352,184
2,b,0,02,Old Site B - Room 02,room,1920,0
2,b,1,03,Old Site B - Room 03,room,24,712
2,b,1,04,Old Site B - Room 04,room,240,520
2,b,1,05,Old Site B - Room 05,room,0,320
2,b,1,06,Old Site B - Room 06,room,256,120
2,b,1,07,Old Site B - Room 07,room,592,0
2,b,2,08b,Old Site B - Room 08b,room,0,1504
2,b,2,08,Old Site B - Room 08,room,320,1304
2,b,2,09,Old Site B - Room 09,room,576,1032
2,b,2,10,Old Site B - Room 10,room,1192,1008
2,b,2,11,Old Site B - Room 11,room,1448,464
2,b,2,end,Old Site B - Room end,room,1664,0
2,c,0,00,Old Site C - Golden Strawberry,golden,46,118
2,c,0,02,Old Site C - Room 02 Binoculars,bino,31,151
2,c,0,02,Old Site C - Level Clear,clear,1351,40
2,c,0,00,Old Site C - Room 00,room,0,80
2,c,0,01,Old Site C - Room 01,room,320,0
2,c,0,02,Old Site C - Room 02,room,736,56
3,a,0,s0,Celestial Resort A - Golden Strawberry,golden,15,96
3,a,0,s2,Celestial Resort A - Room s2 Strawberry 1,berry,368,352
3,a,0,s2,Celestial Resort A - Room s2 Strawberry 2,berry,88,72
3,a,0,s3,Celestial Resort A - Room s3 Strawberry,berry,232,56
3,a,0,00-a,Celestial Resort A - Room 00-a Strawberry,berry,376,120
3,a,0,00-b,Celestial Resort A - Room 00-b Strawberry,berry,88,72
3,a,0,04-b,Celestial Resort A - Room 04-b Strawberry,berry,296,128
3,a,0,06-a,Celestial Resort A - Room 06-a Strawberry,berry,272,80
3,a,0,07-b,Celestial Resort A - Room 07-b Strawberry,berry,272,32
3,a,0,06-b,Celestial Resort A - Room 06-b Strawberry,berry,120,144
3,a,0,06-c,Celestial Resort A - Room 06-c Strawberry,berry,224,32
3,a,0,05-c,Celestial Resort A - Room 05-c Strawberry,berry,176,328
3,a,1,12-y,Celestial Resort A - Room 12-y Strawberry,berry,272,40
3,a,1,10-y,Celestial Resort A - Room 10-y Strawberry,berry,112,48
3,a,1,12-c,Celestial Resort A - Room 12-c Strawberry,berry,160,152
3,a,1,11-d,Celestial Resort A - Room 11-d Strawberry,berry,288,120
3,a,1,13-b,Celestial Resort A - Room 13-b Strawberry,berry,296,140
3,a,1,13-x,Celestial Resort A - Room 13-x Strawberry,berry,136,136
3,a,1,08-x,Celestial Resort A - Room 08-x Strawberry,berry,160,104
3,a,2,06-d,Celestial Resort A - Room 06-d Strawberry,berry,296,40
3,a,2,04-c,Celestial Resort A - Room 04-c Strawberry,berry,288,72
3,a,2,03-b,Celestial Resort A - Room 03-b Strawberry 1,berry,56,32
3,a,2,03-b,Celestial Resort A - Room 03-b Strawberry 2,berry,192,88
3,a,3,roof03,Celestial Resort A - Room roof03 Strawberry,berry,584,48
3,a,3,roof06,Celestial Resort A - Room roof06 Strawberry 1,berry,408,44
3,a,3,roof06,Celestial Resort A - Room roof06 Strawberry 2,berry,1048,144
3,a,1,08-a,Celestial Resort A - Huge Mess,checkpoint,51,109
3,a,2,09-d,Celestial Resort A - Elevator Shaft,checkpoint,35,332
3,a,3,00-d,Celestial Resort A - Presidential Suite,checkpoint,283,61
3,a,0,s3,Celestial Resort A - Front Door Key,key,103,239
3,a,0,02-b,Celestial Resort A - Hallway Key 1,key,203,139
3,a,0,07-b,Celestial Resort A - Hallway Key 2,key,231,135
3,a,1,09-b,Celestial Resort A - Huge Mess Key,key,319,183
3,a,2,02-c,Celestial Resort A - Presidential Suite Key,key,63,118
3,a,3,roof07,Celestial Resort A - Level Clear,clear,177,73
3,a,2,01-c,Celestial Resort A - Cassette,cassette,23,78
3,a,1,11-c,Celestial Resort A - Crystal Heart,heart,159,136
3,a,0,s0,Celestial Resort A - Room s0,room,0,496
3,a,0,s1,Celestial Resort A - Room s1,room,320,296
3,a,0,s2,Celestial Resort A - Room s2,room,720,296
3,a,0,s3,Celestial Resort A - Room s3,room,1224,184
3,a,0,0x-a,Celestial Resort A - Room 0x-a,room,1576,368
3,a,0,00-a,Celestial Resort A - Room 00-a,room,1896,368
3,a,0,02-a,Celestial Resort A - Room 02-a,room,2536,368
3,a,0,02-b,Celestial Resort A - Room 02-b,room,2536,184
3,a,0,01-b,Celestial Resort A - Room 01-b,room,2216,184
3,a,0,00-b,Celestial Resort A - Room 00-b,room,1896,184
3,a,0,00-c,Celestial Resort A - Room 00-c,room,1896,0
3,a,0,0x-b,Celestial Resort A - Room 0x-b,room,1576,184
3,a,0,03-a,Celestial Resort A - Room 03-a,room,2856,368
3,a,0,04-b,Celestial Resort A - Room 04-b,room,3176,184
3,a,0,05-a,Celestial Resort A - Room 05-a,room,3496,368
3,a,0,06-a,Celestial Resort A - Room 06-a,room,3816,368
3,a,0,07-a,Celestial Resort A - Room 07-a,room,4136,368
3,a,0,07-b,Celestial Resort A - Room 07-b,room,4136,184
3,a,0,06-b,Celestial Resort A - Room 06-b,room,3816,184
3,a,0,06-c,Celestial Resort A - Room 06-c,room,3816,0
3,a,0,05-c,Celestial Resort A - Room 05-c,room,3496,0
3,a,0,08-c,Celestial Resort A - Room 08-c,room,4456,0
3,a,0,08-b,Celestial Resort A - Room 08-b,room,4456,184
3,a,1,08-a,Celestial Resort A - Room 08-a,room,0,552
3,a,1,09-b,Celestial Resort A - Room 09-b,room,320,368
3,a,1,11-x,Celestial Resort A - Room 11-x,room,960,736
3,a,1,11-y,Celestial Resort A - Room 11-y,room,960,920
3,a,1,12-y,Celestial Resort A - Room 12-y,room,1280,920
3,a,1,11-z,Celestial Resort A - Room 11-z,room,960,1104
3,a,1,10-z,Celestial Resort A - Room 10-z,room,640,1104
3,a,1,10-y,Celestial Resort A - Room 10-y,room,640,920
3,a,1,10-x,Celestial Resort A - Room 10-x,room,640,736
3,a,1,10-c,Celestial Resort A - Room 10-c,room,640,184
3,a,1,11-c,Celestial Resort A - Room 11-c,room,960,184
3,a,1,12-c,Celestial Resort A - Room 12-c,room,1280,184
3,a,1,12-d,Celestial Resort A - Room 12-d,room,1280,0
3,a,1,11-d,Celestial Resort A - Room 11-d,room,960,0
3,a,1,10-d,Celestial Resort A - Room 10-d,room,640,0
3,a,1,11-b,Celestial Resort A - Room 11-b,room,960,368
3,a,1,12-b,Celestial Resort A - Room 12-b,room,1280,368
3,a,1,13-b,Celestial Resort A - Room 13-b,room,1600,368
3,a,1,13-a,Celestial Resort A - Room 13-a,room,1600,552
3,a,1,13-x,Celestial Resort A - Room 13-x,room,1600,736
3,a,1,12-x,Celestial Resort A - Room 12-x,room,1280,736
3,a,1,11-a,Celestial Resort A - Room 11-a,room,960,552
3,a,1,08-x,Celestial Resort A - Room 08-x,room,0,736
3,a,2,09-d,Celestial Resort A - Room 09-d,room,2560,0
