ID,Chapter,Side,Checkpoint,Room,Width,Height
10_a_2_c-alt-00,10,a,2,c-alt-00,1824,184
10_a_2_c-alt-01,10,a,2,c-alt-01,320,312
10_a_2_d-00,10,a,2,d-00,1080,632
10_a_2_d-01,10,a,2,d-01,1528,184
10_a_2_d-02,10,a,2,d-02,320,944
10_a_2_d-03,10,a,2,d-03,1528,184
10_a_2_d-04,10,a,2,d-04,1360,184
10_a_2_d-05,10,a,2,d-05,1008,184
10_a_3_e-00,10,a,3,e-00,320,424
10_a_3_e-00b,10,a,3,e-00b,320,400
10_a_2_e-00y,10,a,2,e-00y,320,984
10_a_2_e-00yb,10,a,2,e-00yb,320,784
10_a_3_e-00z,10,a,3,e-00z,624,432
10_a_3_e-01,10,a,3,e-01,320,608
10_a_3_e-02,10,a,3,e-02,744,184
10_a_3_e-03,10,a,3,e-03,320,184
10_a_3_e-04,10,a,3,e-04,800,184
10_a_3_e-05,10,a,3,e-05,392,184
10_a_3_e-05b,10,a,3,e-05b,320,184
10_a_3_e-05c,10,a,3,e-05c,480,184
10_a_3_e-06,10,a,3,e-06,872,184
10_a_3_e-07,10,a,3,e-07,752,184
10_a_3_e-08,10,a,3,e-08,1424,184
10_a_8_end-golden,10,a,8,end-golden,320,1960
10_a_4_f-00,10,a,4,f-00,976,192
10_a_4_f-01,10,a,4,f-01,440,272
10_a_4_f-02,10,a,4,f-02,616,216
10_a_4_f-03,10,a,4,f-03,464,192
10_a_4_f-04,10,a,4,f-04,624,184
10_a_4_f-05,10,a,4,f-05,624,384
10_a_4_f-06,10,a,4,f-06,752,184
10_a_4_f-07,10,a,4,f-07,1064,184
10_a_4_f-08,10,a,4,f-08,528,184
10_a_4_f-09,10,a,4,f-09,344,288
10_a_4_f-door,10,a,4,f-door,1000,184
10_a_4_g-00,10,a,4,g-00,320,472
10_a_4_g-01,10,a,4,g-01,320,312
10_a_4_g-02,10,a,4,g-02,912,184
10_a_4_g-03,10,a,4,g-03,592,184
10_a_4_g-04,10,a,4,g-04,872,184
10_a_4_g-05,10,a,4,g-05,320,184
10_a_4_g-06,10,a,4,g-06,2296,1312
10_a_5_h-00,10,a,5,h-00,600,184
10_a_5_h-00b,10,a,5,h-00b,1120,184
10_a_5_h-01,10,a,5,h-01,320,640
10_a_5_h-02,10,a,5,h-02,1256,184
10_a_5_h-03,10,a,5,h-03,320,184
10_a_5_h-03b,10,a,5,h-03b,800,184
10_a_5_h-04,10,a,5,h-04,320,1032
10_a_5_h-04b,10,a,5,h-04b,320,184
10_a_5_h-05,10,a,5,h-05,824,200
10_a_5_h-06,10,a,5,h-06,960,184
10_a_5_h-06b,10,a,5,h-06b,320,736
10_a_5_h-07,10,a,5,h-07,1912,184
10_a_5_h-08,10,a,5,h-08,640,256
10_a_5_h-09,10,a,5,h-09,1416,192
10_a_5_h-10,10,a,5,h-10,2896,1264
10_a_6_i-00,10,a,6,i-00,1384,184
10_a_6_i-00b,10,a,6,i-00b,592,184
10_a_6_i-01,10,a,6,i-01,560,184
10_a_6_i-02,10,a,6,i-02,728,184
10_a_6_i-03,10,a,6,i-03,552,184
10_a_6_i-04,10,a,6,i-04,608,184
10_a_6_i-05,10,a,6,i-05,952,184
10_a_0_intro-00-past,10,a,0,intro-00-past,1160,616
10_a_0_intro-01-future,10,a,0,intro-01-future,1104,616
10_a_0_intro-02-launch,10,a,0,intro-02-launch,320,1072
10_a_0_intro-03-space,10,a,0,intro-03-space,1288,184
10_a_7_j-00,10,a,7,j-00,1152,184
10_a_7_j-00b,10,a,7,j-00b,1608,184
10_a_7_j-01,10,a,7,j-01,1248,184
10_a_7_j-02,10,a,7,j-02,1536,184
10_a_7_j-03,10,a,7,j-03,1616,184
10_a_7_j-04,10,a,7,j-04,840,184
10_a_7_j-05,10,a,7,j-05,1256,184
10_a_7_j-06,10,a,7,j-06,1552,184
10_a_7_j-07,10,a,7,j-07,1752,184
10_a_7_j-08,10,a,7,j-08,1744,184
10_a_7_j-09,10,a,7,j-09,1592,184
10_a_7_j-10,10,a,7,j-10,1744,184
10_a_7_j-11,10,a,7,j-11,1448,184
10_a_7_j-12,10,a,7,j-12,2576,184
10_a_7_j-13,10,a,7,j-13,2672,184
10_a_7_j-14,10,a,7,j-14,1456,184
10_a_7_j-14b,10,a,7,j-14b,1088,184
10_a_7_j-15,10,a,7,j-15,1496,184
10_a_8_j-16,10,a,8,j-16,6144,2720
10_a_8_j-17,10,a,8,j-17,320,184
10_a_8_j-18,10,a,8,j-18,320,184
10_a_8_j-19,10,a,8,j-19,320,4624
10_a_0,maps,10,.,10_a_0,2976,1872
10_a_1,maps,10,.,10_a_1,6936,568
10_a_2,maps,10,.,10_a_2,5192,2392
10_a_3,maps,10,.,10_a_3,6455,2158
10_a_4,maps,10,.,10_a_4,11584,2144
10_a_5,maps,10,.,10_a_5,13318,2264
10_a_6,maps,10,.,10_a_6,5375,480
10_a_7,maps,10,.,10_a_7,6712,2501
10_a_8,maps,10,.,10_a_8,7243,7440
2_a_0_0,2,a,0,0,360,336
2_a_0_1,2,a,0,1,320,296
2_a_0_2,2,a,0,2,384,480
2_a_1_10,2,a,1,10,320,960
2_a_1_11,2,a,1,11,432,184
2_a_1_12,2,a,1,12,464,192
2_a_1_12b,2,a,1,12b,592,184
2_a_1_12c,2,a,1,12c,320,360
2_a_1_12d,2,a,1,12d,376,184
2_a_1_13,2,a,1,13,320,184
2_a_1_2,2,a,1,2,384,480
2_a_1_3,2,a,1,3,360,184
2_a_0_3x,2,a,0,3x,320,184
2_a_1_4,2,a,1,4,320,184
2_a_1_5,2,a,1,5,320,184
2_a_1_6,2,a,1,6,320,184
2_a_1_7,2,a,1,7,336,184
2_a_1_8,2,a,1,8,392,320
2_a_1_9,2,a,1,9,736,320
2_a_1_9b,2,a,1,9b,552,328
2_a_0_d0,2,a,0,d0,320,672
2_a_0_d1,2,a,0,d1,320,368
2_a_0_d2,2,a,0,d2,640,184
2_a_0_d3,2,a,0,d3,320,456
2_a_0_d4,2,a,0,d4,320,184
2_a_0_d5,2,a,0,d5,352,184
2_a_0_d6,2,a,0,d6,320,184
2_a_0_d7,2,a,0,d7,320,184
2_a_0_d8,2,a,0,d8,320,184
2_a_0_d9,2,a,0,d9,432,184
2_a_2_end_0,2,a,2,end_0,320,344
2_a_2_end_1,2,a,2,end_1,360,344
2_a_2_end_2,2,a,2,end_2,320,344
2_a_2_end_3,2,a,2,end_3,384,344
2_a_2_end_3b,2,a,2,end_3b,592,184
2_a_2_end_3c,2,a,2,end_3c,320,184
2_a_2_end_3cb,2,a,2,end_3cb,320,184
2_a_2_end_4,2,a,2,end_4,432,184
2_a_2_end_5,2,a,2,end_5,464,192
2_a_2_end_6,2,a,2,end_6,320,184
2_a_2_end_s0,2,a,2,end_s0,680,360
2_a_2_end_s1,2,a,2,end_s1,680,184
2_a_0_s0,2,a,0,s0,320,184
2_a_0_s1,2,a,0,s1,320,184
2_a_0_s2,2,a,0,s2,320,184
2_a_0_start,2,a,0,start,320,248
2_b_0_00,2,b,0,00,376,184
2_b_0_01,2,b,0,01,336,184
2_b_0_01b,2,b,0,01b,480,184
2_b_0_02,2,b,0,02,944,184
2_b_0_02b,2,b,0,02b,656,184
2_b_1_03,2,b,1,03,320,184
2_b_1_04,2,b,1,04,584,192
2_b_1_05,2,b,1,05,320,200
2_b_1_06,2,b,1,06,336,200
2_b_1_07,2,b,1,07,320,320
2_b_2_08,2,b,2,08,320,200
2_b_2_08b,2,b,2,08b,384,184
2_b_2_09,2,b,2,09,616,272
2_b_2_10,2,b,2,10,320,296
2_b_2_11,2,b,2,11,320,544
2_b_2_end,2,b,2,end,320,464
2_b_0_start,2,b,0,start,320,184
2_c_0_00,2,c,0,00,320,184
2_c_0_01,2,c,0,01,416,184
2_c_0_02,2,c,0,02,1992,184
2_a_0,maps,2,.,2_a_0,1960,1655
2_a_1,maps,2,.,2_a_1,2904,2272
2_a_2,maps,2,.,2_a_2,3192,888
2_b_0,maps,2,.,2_b_0,2864,799
2_b_1,maps,2,.,2_b_1,912,896
2_b_2,maps,2,.,2_b_2,1984,1688
2_c_0,maps,2,.,2_c_0,2728,264
3_a_0_00-a,3,a,0,00-a,640,184
3_a_0_00-b,3,a,0,00-b,320,184
3_a_0_00-c,3,a,0,00-c,320,184
3_a_3_00-d,3,a,3,00-d,320,184
3_a_0_01-b,3,a,0,01-b,320,184
3_a_2_01-c,3,a,2,01-c,320,184
3_a_0_02-a,3,a,0,02-a,320,184
3_a_0_02-b,3,a,0,02-b,320,184
3_a_2_02-c,3,a,2,02-c,640,184
3_a_2_02-d,3,a,2,02-d,960,184
3_a_0_03-a,3,a,0,03-a,640,184
3_a_2_03-b,3,a,2,03-b,320,184
3_a_0_04-b,3,a,0,04-b,320,184
3_a_2_04-c,3,a,2,04-c,320,184
3_a_2_04-d,3,a,2,04-d,640,184
3_a_0_05-a,3,a,0,05-a,320,184
3_a_0_05-c,3,a,0,05-c,320,368
3_a_0_06-a,3,a,0,06-a,320,184
3_a_0_06-b,3,a,0,06-b,320,184
3_a_0_06-c,3,a,0,06-c,640,184
3_a_2_06-d,3,a,2,06-d,640,184
3_a_0_07-a,3,a,0,07-a,320,184
3_a_0_07-b,3,a,0,07-b,320,184
3_a_1_08-a,3,a,1,08-a,320,184
3_a_0_08-b,3,a,0,08-b,320,184
3_a_0_08-c,3,a,0,08-c,320,184
3_a_2_08-d,3,a,2,08-d,320,184
3_a_1_08-x,3,a,1,08-x,640,184
3_a_1_09-b,3,a,1,09-b,640,368
3_a_2_09-d,3,a,2,09-d,320,368
3_a_0_0x-a,3,a,0,0x-a,320,184
3_a_0_0x-b,3,a,0,0x-b,320,184
3_a_1_10-c,3,a,1,10-c,320,184
3_a_1_10-d,3,a,1,10-d,320,184
3_a_1_10-x,3,a,1,10-x,320,184
3_a_1_10-y,3,a,1,10-y,320,184
3_a_1_10-z,3,a,1,10-z,320,184
3_a_1_11-a,3,a,1,11-a,640,184
3_a_1_11-b,3,a,1,11-b,320,184
3_a_1_11-c,3,a,1,11-c,320,184
3_a_1_11-d,3,a,1,11-d,320,184
3_a_1_11-x,3,a,1,11-x,320,184
3_a_1_11-y,3,a,1,11-y,320,184
3_a_1_11-z,3,a,1,11-z,320,184
3_a_1_12-b,3,a,1,12-b,320,184
3_a_1_12-c,3,a,1,12-c,320,184
3_a_1_12-d,3,a,1,12-d,336,184
3_a_1_12-x,3,a,1,12-x,320,184
3_a_1_12-y,3,a,1,12-y,320,184
3_a_1_13-a,3,a,1,13-a,320,184
3_a_1_13-b,3,a,1,13-b,320,184
3_a_1_13-x,3,a,1,13-x,320,184
3_a_3_roof00,3,a,3,roof00,808,184
3_a_3_roof01,3,a,3,roof01,416,184
3_a_3_roof02,3,a,3,roof02,464,184
3_a_3_roof03,3,a,3,roof03,976,184
3_a_3_roof04,3,a,3,roof04,336,184
3_a_3_roof05,3,a,3,roof05,816,184
3_a_3_roof06,3,a,3,roof06,2032,184
3_a_3_roof06b,3,a,3,roof06b,608,184
3_a_3_roof07,3,a,3,roof07,488,880
3_a_0_s0,3,a,0,s0,320,184
3_a_0_s1,3,a,0,s1,400,384
3_a_0_s2,3,a,0,s2,504,384
3_a_0_s3,3,a,0,s3,352,480
3_b_0_00,3,b,0,00,320,184
3_b_0_01,3,b,0,01,520,184
3_b_0_02,3,b,0,02,760,184
3_b_0_03,3,b,0,03,328,184
3_b_0_04,3,b,0,04,328,184
3_b_0_05,3,b,0,05,320,184
3_b_1_06,3,b,1,06,464,184
3_b_1_07,3,b,1,07,320,184
3_b_1_08,3,b,1,08,320,368
3_b_1_09,3,b,1,09,592,184
3_b_1_10,3,b,1,10,320,512
3_b_2_11,3,b,2,11,432,192
3_b_2_12,3,b,2,12,1048,184
3_b_2_13,3,b,2,13,624,184
3_b_2_14,3,b,2,14,432,228
3_b_2_15,3,b,2,15,320,192
3_b_3_16,3,b,3,16,320,184
3_b_3_17,3,b,3,17,664,184
3_b_3_18,3,b,3,18,768,184
3_b_3_19,3,b,3,19,432,184
3_b_3_20,3,b,3,20,576,184
3_b_3_21,3,b,3,21,776,184
3_b_0_back,3,b,0,back,1672,184
3_b_3_end,3,b,3,end,656,184
3_c_0_00,3,c,0,00,344,184
3_c_0_01,3,c,0,01,344,184
3_c_0_02,3,c,0,02,1576,184
3_a_0,maps,3,.,3_a_0,4780,680
3_a_1,maps,3,.,3_a_1,1920,1288
3_a_2,maps,3,.,3_a_2,2880,544
3_a_3,maps,3,.,3_a_3,6944,880
3_b_0,maps,3,.,3_b_0,4245,208
3_b_1,maps,3,.,3_b_1,1826,959
3_b_2,maps,3,.,3_b_2,2855,296
3_b_3,maps,3,.,3_b_3,3679,367
3_c_0,maps,3,.,3_c_0,2152,472
4_a_0_a-00,4,a,0,a-00,472,304
4_a_0_a-01,4,a,0,a-01,368,304
4_a_0_a-01x,4,a,0,a-01x,920,240
4_a_0_a-02,4,a,0,a-02,488,192
4_a_0_a-03,4,a,0,a-03,592,184
4_a_0_a-04,4,a,0,a-04,480,184
4_a_0_a-05,4,a,0,a-05,384,184
4_a_0_a-06,4,a,0,a-06,360,184
4_a_0_a-07,4,a,0,a-07,320,184
4_a_0_a-08,4,a,0,a-08,408,304
4_a_0_a-09,4,a,0,a-09,336,280
4_a_0_a-10,4,a,0,a-10,320,184
4_a_0_a-11,4,a,0,a-11,784,208
4_a_1_b-00,4,a,1,b-00,320,480
4_a_1_b-01,4,a,1,b-01,504,192
4_a_1_b-02,4,a,1,b-02,376,296
4_a_1_b-03,4,a,1,b-03,320,192
4_a_1_b-04,4,a,1,b-04,400,224
4_a_1_b-05,4,a,1,b-05,880,184
4_a_1_b-06,4,a,1,b-06,320,408
4_a_1_b-07,4,a,1,b-07,400,200
4_a_1_b-08,4,a,1,b-08,784,216
4_a_1_b-08b,4,a,1,b-08b,320,248
4_a_1_b-sec,4,a,1,b-sec,320,360
4_a_1_b-secb,4,a,1,b-secb,392,184
4_a_2_c-00,4,a,2,c-00,784,240
4_a_2_c-01,4,a,2,c-01,320,184
4_a_2_c-02,4,a,2,c-02,384,184
4_a_2_c-04,4,a,2,c-04,528,184
4_a_2_c-05,4,a,2,c-05,688,216
4_a_2_c-06,4,a,2,c-06,320,632
4_a_2_c-06b,4,a,2,c-06b,320,184
4_a_2_c-07,4,a,2,c-07,520,224
4_a_2_c-08,4,a,2,c-08,320,600
4_a_2_c-09,4,a,2,c-09,800,184
4_a_2_c-10,4,a,2,c-10,320,512
4_a_3_d-00,4,a,3,d-00,432,184
4_a_3_d-00b,4,a,3,d-00b,512,360
4_a_3_d-01,4,a,3,d-01,320,184
4_a_3_d-02,4,a,3,d-02,376,192
4_a_3_d-03,4,a,3,d-03,328,184
4_a_3_d-04,4,a,3,d-04,816,184
4_a_3_d-05,4,a,3,d-05,368,184
4_a_3_d-06,4,a,3,d-06,568,184
4_a_3_d-07,4,a,3,d-07,552,184
4_a_3_d-08,4,a,3,d-08,368,344
4_a_3_d-09,4,a,3,d-09,1408,184
4_a_3_d-10,4,a,3,d-10,1360,928
4_b_0_a-00,4,b,0,a-00,504,184
4_b_0_a-01,4,b,0,a-01,624,184
4_b_0_a-02,4,b,0,a-02,504,200
4_b_0_a-03,4,b,0,a-03,1144,184
4_b_0_a-04,4,b,0,a-04,544,184
4_b_1_b-00,4,b,1,b-00,424,184
4_b_1_b-01,4,b,1,b-01,600,200
4_b_1_b-02,4,b,1,b-02,320,904
4_b_1_b-03,4,b,1,b-03,432,184
4_b_1_b-04,4,b,1,b-04,536,184
4_b_2_c-00,4,b,2,c-00,968,192
4_b_2_c-01,4,b,2,c-01,720,184
4_b_2_c-02,4,b,2,c-02,960,184
4_b_2_c-03,4,b,2,c-03,320,1040
4_b_2_c-04,4,b,2,c-04,656,184
4_b_3_d-00,4,b,3,d-00,896,184
4_b_3_d-01,4,b,3,d-01,992,216
4_b_3_d-02,4,b,3,d-02,728,192
4_b_3_d-03,4,b,3,d-03,1872,184
4_b_3_end,4,b,3,end,544,232
4_c_0_00,4,c,0,00,696,184
4_c_0_01,4,c,0,01,320,552
4_c_0_02,4,c,0,02,2568,184
4_a_0,maps,4,.,4_a_0,4792,1176
4_a_1,maps,4,.,4_a_1,2128,1176
4_a_2,maps,4,.,4_a_2,4504,2216
4_a_3,maps,4,.,4_a_3,7408,1192
4_b_0,maps,4,.,4_b_0,3320,423
4_b_1,maps,4,.,4_b_1,1968,1575
4_b_2,maps,4,.,4_b_2,3400,1222
4_b_3,maps,4,.,4_b_3,5031,296
4_c_0,maps,4,.,4_c_0,3584,608
5_a_0_a-00,5,a,0,a-00,480,184
5_a_0_a-00b,5,a,0,a-00b,456,224
5_a_0_a-00c,5,a,0,a-00c,512,296
5_a_0_a-00d,5,a,0,a-00d,416,224
5_a_0_a-00x,5,a,0,a-00x,696,632
5_a_0_a-01,5,a,0,a-01,496,624
5_a_0_a-02,5,a,0,a-02,320,184
5_a_0_a-03,5,a,0,a-03,320,184
5_a_0_a-04,5,a,0,a-04,320,184
5_a_0_a-05,5,a,0,a-05,464,320
5_a_0_a-06,5,a,0,a-06,320,232
5_a_0_a-07,5,a,0,a-07,320,184
5_a_0_a-08,5,a,0,a-08,320,344
5_a_0_a-09,5,a,0,a-09,320,184
5_a_0_a-10,5,a,0,a-10,320,184
5_a_0_a-11,5,a,0,a-11,320,184
5_a_0_a-12,5,a,0,a-12,400,272
5_a_0_a-13,5,a,0,a-13,320,184
5_a_0_a-14,5,a,0,a-14,320,200
5_a_0_a-15,5,a,0,a-15,320,184
5_a_1_b-00,5,a,1,b-00,568,184
5_a_1_b-01,5,a,1,b-01,648,368
5_a_1_b-01b,5,a,1,b-01b,368,184
5_a_1_b-01c,5,a,1,b-01c,320,184
5_a_1_b-02,5,a,1,b-02,320,680
5_a_1_b-03,5,a,1,b-03,320,184
5_a_1_b-04,5,a,1,b-04,320,216
5_a_1_b-05,5,a,1,b-05,320,184
5_a_1_b-06,5,a,1,b-06,1088,184
5_a_1_b-07,5,a,1,b-07,320,256
5_a_1_b-08,5,a,1,b-08,320,280
5_a_1_b-09,5,a,1,b-09,320,184
5_a_1_b-10,5,a,1,b-10,376,184
5_a_1_b-11,5,a,1,b-11,320,344
5_a_1_b-12,5,a,1,b-12,320,184
5_a_1_b-13,5,a,1,b-13,320,280
5_a_1_b-14,5,a,1,b-14,320,280
5_a_1_b-15,5,a,1,b-15,640,368
5_a_1_b-16,5,a,1,b-16,320,1032
5_a_1_b-17,5,a,1,b-17,408,264
5_a_1_b-18,5,a,1,b-18,320,184
5_a_1_b-19,5,a,1,b-19,1960,184
5_a_1_b-20,5,a,1,b-20,648,184
5_a_1_b-21,5,a,1,b-21,320,184
5_a_1_b-22,5,a,1,b-22,584,184
5_a_2_c-00,5,a,2,c-00,320,1032
5_a_2_c-01,5,a,2,c-01,544,184
5_a_2_c-01b,5,a,2,c-01b,320,184
5_a_2_c-01c,5,a,2,c-01c,408,184
5_a_2_c-07,5,a,2,c-07,472,184
5_a_2_c-08,5,a,2,c-08,376,184
5_a_2_c-08b,5,a,2,c-08b,376,184
5_a_2_c-09,5,a,2,c-09,320,184
5_a_2_c-10,5,a,2,c-10,320,184
5_a_2_c-11,5,a,2,c-11,320,184
5_a_2_c-12,5,a,2,c-12,320,184
5_a_2_c-13,5,a,2,c-13,656,184
5_a_3_d-00,5,a,3,d-00,320,520
5_a_3_d-01,5,a,3,d-01,640,552
5_a_3_d-02,5,a,3,d-02,352,184
5_a_3_d-03,5,a,3,d-03,336,184
5_a_3_d-04,5,a,3,d-04,656,368
5_a_3_d-05,5,a,3,d-05,352,336
5_a_3_d-06,5,a,3,d-06,352,336
5_a_3_d-07,5,a,3,d-07,320,312
5_a_3_d-09,5,a,3,d-09,320,184
5_a_3_d-10,5,a,3,d-10,336,184
5_a_3_d-13,5,a,3,d-13,376,184
5_a_3_d-15,5,a,3,d-15,640,552
5_a_3_d-19,5,a,3,d-19,320,488
5_a_3_d-19b,5,a,3,d-19b,320,400
5_a_3_d-20,5,a,3,d-20,368,184
5_a_4_e-00,5,a,4,e-00,568,184
5_a_4_e-01,5,a,4,e-01,320,184
5_a_4_e-02,5,a,4,e-02,376,184
5_a_4_e-03,5,a,4,e-03,512,184
5_a_4_e-04,5,a,4,e-04,496,184
5_a_4_e-05,5,a,4,e-05,320,184
5_a_4_e-06,5,a,4,e-06,664,184
5_a_4_e-07,5,a,4,e-07,688,184
5_a_4_e-08,5,a,4,e-08,568,184
5_a_4_e-09,5,a,4,e-09,440,184
5_a_4_e-10,5,a,4,e-10,712,256
5_a_4_e-11,5,a,4,e-11,1200,184
5_a_2_void,5,a,1,void,1208,368
5_b_0_a-00,5,b,0,a-00,320,184
5_b_0_a-01,5,b,0,a-01,1136,184
5_b_0_a-02,5,b,0,a-02,472,184
5_b_1_b-00,5,b,1,b-00,320,184
5_b_1_b-01,5,b,1,b-01,808,184
5_b_1_b-02,5,b,1,b-02,320,368
5_b_1_b-03,5,b,1,b-03,984,184
5_b_1_b-04,5,b,1,b-04,632,184
5_b_1_b-05,5,b,1,b-05,320,320
5_b_1_b-06,5,b,1,b-06,720,184
5_b_1_b-07,5,b,1,b-07,320,368
5_b_1_b-08,5,b,1,b-08,576,184
5_b_1_b-09,5,b,1,b-09,320,1032
5_b_2_c-00,5,b,2,c-00,320,1032
5_b_2_c-01,5,b,2,c-01,320,184
5_b_2_c-02,5,b,2,c-02,560,200
5_b_2_c-03,5,b,2,c-03,656,184
5_b_2_c-04,5,b,2,c-04,656,184
5_b_3_d-00,5,b,3,d-00,368,184
5_b_3_d-01,5,b,3,d-01,696,184
5_b_3_d-02,5,b,3,d-02,800,184
5_b_3_d-03,5,b,3,d-03,648,184
5_b_3_d-04,5,b,3,d-04,416,184
5_b_3_d-05,5,b,3,d-05,832,184
5_b_0_start,5,b,0,start,1032,224
5_c_0_00,5,c,0,00,488,184
5_c_0_01,5,c,0,01,320,184
5_c_0_02,5,c,0,02,1624,184
5_a_0,maps,5,.,5_a_0,3728,1711
5_a_1,maps,5,.,5_a_1,5911,1744
5_a_2,maps,5,.,5_a_2,4752,1152
5_a_3,maps,5,.,5_a_3,2296,1256
5_a_4,maps,5,.,5_a_4,6864,288
5_b_0,maps,5,.,5_b_0,2961,224
5_b_1,maps,5,.,5_b_1,2167,1768
5_b_2,maps,5,.,5_b_2,2511,1047
5_b_3,maps,5,.,5_b_3,3760,271
5_c_0,maps,5,.,5_c_0,2432,224
6_a_1_00,6,a,1,00,720,360
6_a_1_01,6,a,1,01,440,424
6_a_1_02,6,a,1,02,320,1000
6_a_1_02b,6,a,1,02b,320,680
6_a_1_03,6,a,1,03,320,192
6_a_2_04,6,a,2,04,640,1208
6_a_2_04b,6,a,2,04b,408,184
6_a_2_04c,6,a,2,04c,320,184
6_a_2_04d,6,a,2,04d,320,200
6_a_2_04e,6,a,2,04e,872,184
6_a_2_05,6,a,2,05,1112,336
6_a_2_06,6,a,2,06,1208,352
6_a_2_07,6,a,2,07,320,352
6_a_2_08a,6,a,2,08a,488,184
6_a_2_08b,6,a,2,08b,488,224
6_a_2_09,6,a,2,09,320,496
6_a_2_10a,6,a,2,10a,624,232
6_a_2_10b,6,a,2,10b,624,264
6_a_2_11,6,a,2,11,408,328
6_a_2_12a,6,a,2,12a,520,328
6_a_2_12b,6,a,2,12b,520,184
6_a_2_13,6,a,2,13,320,384
6_a_2_14a,6,a,2,14a,384,184
6_a_2_14b,6,a,2,14b,384,216
6_a_2_15,6,a,2,15,320,280
6_a_2_16a,6,a,2,16a,608,184
6_a_2_16b,6,a,2,16b,608,184
6_a_2_17,6,a,2,17,320,448
6_a_2_18a,6,a,2,18a,776,184
6_a_2_18b,6,a,2,18b,776,184
